Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
Beachport East 1,,Otway Basin,419273.931797006,5854978.15028996,68,4.5,UNKNOWN,,Matthews et al. 2013,,,,stable interval below about 150 m with 4 concordant estimates
BEN 13,,Otway Basin,459187.945277618,5819053.16107056,60,7.1,UNKNOWN,,Matthews et al. 2013,,,,
Biscuit Flat 1,,Otway Basin,432261.10369795,5855494.11924472,70,3.7,UNKNOWN,,Matthews et al. 2013,,,,stable interval below about 160 m with 3 concordant estimates 
BLA 140,,Otway Basin,480960.948073037,5810885.4005109,52,7.5,UNKNOWN,,Matthews et al. 2013,,,,single estimate from moderately stable interval just below climate effects (?) in fresh bedrock
BLA 175,,Otway Basin,478986.775172312,5810525.54729853,62,6.1,UNKNOWN,,Matthews et al. 2013,,,,probe didn’t penetrate to bedrock and no stable intervals for heat flow analysis in the murray basin
Burrungule 1,,Otway Basin,459466.750396777,5819595.4922506,65,3.3,UNKNOWN,,Matthews et al. 2013,,,,probe didn’t penetrate to bedrock and no stable intervals for heat flow analysis in the murray basin
Caroline 1,,Otway Basin,491924.820580489,5800757.42758791,64,4.2,UNKNOWN,,Matthews et al. 2013,,,,probe didn’t penetrate to bedrock and no stable intervals for heat flow analysis in the murray basin
Compton 1,,Otway Basin,474772.788904078,5817089.47807423,59,5.5,UNKNOWN,,Matthews et al. 2013,,,,apparently stable profile but unlikely to have penetrated below surface effects
GAM 75,,Otway Basin,484709.49618065,5819021.36008522,71,8.9,UNKNOWN,,Matthews et al. 2013,,,,unstable profile unlikely to have penetrated below surface effects
Hatherleigh 1,,Otway Basin,434089.111408324,5851084.1217992,60.5,3.3,UNKNOWN,,Matthews et al. 2013,,,,long moderately stable interval below 240 m allows an averaged heatflow calculation
HIN 104,,Otway Basin,459063.708370423,5834535.63982346,75,8.4,UNKNOWN,,Matthews et al. 2013,,,,single estimate from moderately stable interval just below climate effects (?) in fresh bedrock but geothermal gradient looks unrealistically low in comparion to regional values
Hungerford 1,,Otway Basin,464581.793880856,5855249.58364253,68,4.9,UNKNOWN,,Matthews et al. 2013,,,,
Kalangadoo 1,,Otway Basin,472531.795874491,5841457.45747711,61,4.2,UNKNOWN,,Matthews et al. 2013,,,,
Katnook 2,,Otway Basin,481424.849668989,5855242.83450441,80,3.3,UNKNOWN,,Matthews et al. 2013,,,,
KEN 17,,Otway Basin,439499.333386365,5858442.2363842,61,9.2,UNKNOWN,,Matthews et al. 2013,,,,
Kentgrove 1,,Otway Basin,467058.751834522,5801533.44354599,74,16.3,UNKNOWN,,Matthews et al. 2013,,,,
Lake Bonney 1,,Otway Basin,453647.72517144,5811585.48127777,60,3.3,UNKNOWN,,Matthews et al. 2013,,,,
Lake George 1,,Otway Basin,414835.63786493,5854428.39990818,75,4.1,UNKNOWN,,Matthews et al. 2013,,,,
MAC 57,,Otway Basin,466747.619588377,5801021.97868514,73,8.6,UNKNOWN,,Matthews et al. 2013,,,,
McNamara Park 1,,Otway Basin,466607.562185473,5813084.45534052,58,4.9,UNKNOWN,,Matthews et al. 2013,,,,
McNicol 1,,Otway Basin,486739.689523518,5812902.71549395,63,7.9,UNKNOWN,,Matthews et al. 2013,,,,
MIN 17,,Otway Basin,491715.444277954,5829086.52548229,64,4.2,UNKNOWN,,Matthews et al. 2013,,,,
MIN 22,,Otway Basin,487576.874366728,5821933.01980123,69,6.4,UNKNOWN,,Matthews et al. 2013,,,,
MLG 1,,Otway Basin,498836.383320722,5808682.8443079,73,10.5,UNKNOWN,,Matthews et al. 2013,,,,
MON 19,,Otway Basin,471942.755946588,5862618.33088241,42,6.6,UNKNOWN,,Matthews et al. 2013,,,,
MTM 66,,Otway Basin,442863.468697637,5837139.14282063,70,9.6,UNKNOWN,,Matthews et al. 2013,,,,
PEN 25,,Otway Basin,494523.788297829,5859757.00195913,53,11.3,UNKNOWN,,Matthews et al. 2013,,,,
PLP 1,,Otway Basin,496866.791166134,5795749.91166656,57,8.5,UNKNOWN,,Matthews et al. 2013,,,,
Reedy Creek 1,,Otway Basin,425252.240773697,5869174.89448535,74,3.1,UNKNOWN,,Matthews et al. 2013,,,,
Rendelsham 1,,Otway Basin,432288.968229559,5842562.88131909,66,3.2,UNKNOWN,,Matthews et al. 2013,,,,
SHT 13,,Otway Basin,455913.685826822,5863736.22796307,50,8.3,UNKNOWN,,Matthews et al. 2013,,,,
Trihi 1,,Otway Basin,467162.875561698,5843540.49836603,77,8.6,UNKNOWN,,Matthews et al. 2013,,,,recalculation of historic temp data with new conductivity
Ancalagon 1,,Stansbury,242292.003006485,6278431.00356678,86,4,UNKNOWN,320.8,Matthews 2009,,,,recalculation of historic temp data with new conductivity
Balrog 1,,Arrowie,240071.904783008,6537809.10140931,110,2,UNKNOWN,502,Matthews 2009,,,,
Chloe 1,,Adelaide Fold Belt,306061.142914364,6232733.19515282,75,1,UNKNOWN,334,Matthews 2009,,,,
Edeowie 1,,Arrowie,255505.384146231,6534746.85596698,74,7,UNKNOWN,683,Matthews 2009,,,,
Elisa 1,,Adelaide Fold Belt,283854.435601664,6296210.79398191,47,0.4,UNKNOWN,350,Matthews 2009,,,,
Falkor 1,,Stansbury,246008.256760385,6263582.03269057,57,2,UNKNOWN,474.1,Matthews 2009,,,,
